codigo_region,region,codigo_comuna,comuna,03/07/2020,03/30/2020,04/01/2020,04/03/2020,04/06/2020,0,04/08/2020,04/10/2020,04/13/2020,04/15/2020,0,04/17/2020,04/20/2020,04/24/2020,04/27/2020,0,04/30/2020,05/04/2020
5,Valparaíso,5104,Juan Fernández,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
5,Valparaíso,5504,La Cruz,0,-,1,3,3,0,2,2,5,5,0,5,7,8,8,0,9,10
5,Valparaíso,5401,La Ligua,0,-,2,2,2,0,2,2,2,2,0,2,2,2,2,0,2,3
5,Valparaíso,5802,Limache,0,-,3,3,4,0,5,7,8,13,0,20,20,23,23,0,23,22
5,Valparaíso,5703,Llaillay,0,-,-,1,2,0,2,2,2,2,0,2,2,2,2,0,4,4
5,Valparaíso,5301,Los Andes,0,-,3,2,2,0,6,6,6,7,0,9,9,6,7,0,9,9
5,Valparaíso,5506,Nogales,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
5,Valparaíso,5803,Olmué,0,-,-,-,-,0,-,-,1,1,0,2,2,2,2,0,2,2
5,Valparaíso,5704,Panquehue,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
5,Valparaíso,5403,Papudo,0,-,-,1,1,0,-,-,0,0,0,0,0,0,0,0,0,0
5,Valparaíso,5404,Petorca,0,-,1,1,5,0,4,5,6,6,0,6,6,6,6,0,6,6
5,Valparaíso,5105,Puchuncaví,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
5,Valparaíso,5705,Putaendo,0,-,1,1,1,0,1,1,1,2,0,2,5,5,5,0,6,6
5,Valparaíso,5501,Quillota,0,6,7,9,9,0,13,13,16,18,0,19,20,22,22,0,24,26
5,Valparaíso,5801,Quilpué,0,11,10,11,12,0,15,18,20,21,0,22,27,30,30,0,38,40
5,Valparaíso,5107,Quintero,0,-,3,2,2,0,3,4,5,4,0,4,4,6,9,0,10,10
5,Valparaíso,5303,Rinconada,0,-,-,-,-,0,1,2,2,2,0,2,2,2,2,0,2,2
5,Valparaíso,5601,San Antonio,0,-,4,8,9,0,9,13,17,19,0,28,34,46,53,0,72,86
5,Valparaíso,5304,San Esteban,0,-,-,-,-,0,-,-,0,0,0,0,1,1,3,0,3,3
5,Valparaíso,5701,San Felipe,0,-,3,5,5,0,6,6,6,6,0,6,6,6,6,0,9,9
5,Valparaíso,5706,Santa María,0,-,2,2,2,0,2,2,2,2,0,2,2,2,2,0,13,16
5,Valparaíso,5606,Santo Domingo,0,-,3,1,2,0,5,5,5,10,0,11,12,17,17,0,19,22
5,Valparaíso,5101,Valparaíso,0,16,26,23,26,0,36,39,44,45,0,51,59,67,68,0,95,109
5,Valparaíso,5804,Villa Alemana,0,6,8,11,11,0,12,12,12,12,0,13,13,14,15,0,17,19
5,Valparaíso,5109,Viña del Mar,0,29,38,47,53,0,66,69,72,75,0,84,94,103,109,0,123,135
5,Valparaíso,5405,Zapallar,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
13,Metropolitana,13502,Alhué,0,-,-,-,-,0,-,-,0,0,0,0,0,0,0,0,0,0
13,Metropolitana,13402,Buin,0,7,8,14,20,0,20,29,36,40,0,43,47,53,60,0,81,92
13,Metropolitana,13403,Calera de Tango,0,6,7,7,7,0,8,8,10,10,0,11,14,15,15,0,17,17
13,Metropolitana,13102,Cerrillos,0,-,4,4,5,0,11,21,29,39,0,48,53,66,80,0,129,241
13,Metropolitana,13103,Cerro Navia,0,19,21,26,31,0,36,42,57,65,0,79,99,118,135,0,179,227
13,Metropolitana,13301,Colina,0,32,39,47,50,0,62,66,74,77,0,81,90,95,103,0,129,152
